year,pmidCount,titleCount,absCount,meshCount,keyCount,errorCount
1988,354129,354129,204609,333645,5010,0
2011,825650,825650,702894,721286,35559,4
1831,21,21,0,0,0,0
1842,662,662,0,0,0,0
1935,5142,5142,224,2,2,0
1926,4746,4746,212,1,1,0
1817,25,25,0,0,0,0
1927,5347,5347,247,0,0,0
1857,257,257,0,0,0,0
1897,1945,1945,14,0,0,0
1832,17,17,0,0,0,0
1910,3066,3066,38,0,0,0
1970,200421,200421,8703,192783,460,0
1991,377234,377234,266630,354284,5420,0
1863,169,169,0,0,0,0
1883,1166,1166,0,0,0,0
1839,24,24,0,0,0,0
2002,513921,513921,407683,479287,5702,0
1829,14,14,0,0,0,0
1889,1590,1590,0,0,0,0
1893,1694,1694,0,0,0,0
1976,231267,231267,100634,225962,1889,0
1860,169,169,0,0,0,0
1870,428,428,0,0,0,0
1835,21,21,0,0,0,0
1866,144,144,0,0,0,0
1965,157086,157086,3462,153679,66578,0
1906,2121,2121,12,0,0,0
1880,819,819,0,0,0,0
1958,97666,97666,663,95868,94154,0
1809,22,22,0,0,0,0
1982,269440,269440,125840,260121,3266,0
1879,504,504,0,0,0,0
1837,18,18,0,0,0,0
1816,43,43,0,0,0,0
2005,607985,607985,500886,558807,5138,0
1846,279,279,0,0,0,0
1938,5301,5301,185,9,9,0
1864,159,159,0,0,0,0
1867,366,366,0,0,0,0
1891,976,976,1,0,0,0
2007,659299,659299,549717,608346,4820,0
1918,2909,2909,119,0,0,0
2010,772124,772124,654861,686299,23673,0
1928,4974,4974,255,3,2,0
1949,57590,57590,274,56001,54897,0
1936,4876,4876,197,5,4,0
1852,237,237,0,0,0,0
1973,211580,211580,10138,206630,1102,0
1955,95845,95845,415,94113,94014,0
1919,3141,3141,199,0,0,0
1912,3364,3364,92,0,0,0
1877,395,395,0,0,0,0
1896,1858,1858,11,0,0,0
1962,111776,111776,2123,108859,108681,0
2015,1028072,1028072,877184,790828,453812,461
1815,29,29,0,0,0,0
2003,537842,537842,429754,503966,5584,0
1886,1497,1497,0,0,0,0
1849,211,211,0,0,0,0
1939,5098,5098,194,4,4,0
1957,97662,97662,556,96000,95087,0
1984,288044,288044,170601,278607,3425,0
1902,1777,1777,3,1,1,0
1908,2746,2746,23,0,0,0
2004,571662,571662,463066,532723,5647,0
1853,230,230,0,0,0,0
1819,31,31,0,0,0,0
1980,256849,256849,119332,249696,3227,0
1890,1093,1093,0,0,0,0
1990,374296,374296,262611,353125,4728,0
1922,3524,3524,177,0,0,0
2014,988116,988116,849683,817031,380225,353
1916,3186,3186,143,1,1,0
1851,233,233,0,0,0,0
1967,173192,173192,5785,168235,109,0
2008,702800,702800,590485,635958,10480,0
1900,1588,1588,7,0,0,0
1875,459,459,0,0,0,0
1996,423645,423645,308146,387469,7061,0
1876,451,451,0,0,0,0
1868,513,513,0,0,0,0
1925,4445,4445,218,2,2,0
1847,241,241,0,0,0,0
1951,92544,92544,258,91481,90888,0
1840,146,146,0,0,0,0
1981,259113,259113,119622,250919,3178,0
1888,1253,1253,0,0,0,0
1964,144283,144283,2827,141310,133093,0
1983,281915,281915,156052,272346,3403,0
1821,35,35,0,0,0,0
1920,3350,3350,223,0,0,0
1921,3381,3381,214,0,0,0
1971,203806,203806,8864,197241,522,0
1898,1918,1918,13,0,0,0
2012,888239,888239,764067,764878,49668,8
1828,14,14,0,0,0,0
1873,568,568,0,0,0,0
1882,506,506,0,0,0,0
1885,1466,1466,0,0,0,0
1923,3813,3813,179,0,0,0
1934,5040,5040,192,3,3,0
1972,208943,208943,9639,203686,675,0
1998,435868,435868,331626,409410,7450,0
2017,15021,15021,13907,0,12021,155
1929,5062,5062,231,2,2,0
1930,4956,4956,223,0,0,0
1992,382125,382125,272746,357558,6340,0
1954,94115,94115,366,92473,92369,0
1975,226083,226083,92435,221589,1355,0
1874,457,457,0,0,0,0
1813,27,27,0,0,0,0
1944,4234,4234,148,18,18,0
1881,945,945,3,0,0,0
1987,335475,335475,194858,316692,4052,0
1917,2943,2943,118,0,0,0
1993,390203,390203,278013,362836,6604,0
1907,2110,2110,30,0,0,0
1943,4202,4202,146,3,3,0
1937,4850,4850,185,2,2,0
1904,1952,1952,0,0,0,0
1997,418745,418745,315845,395321,7671,0
1818,33,33,0,0,0,0
1899,1584,1584,14,0,0,0
1911,3385,3385,70,0,0,0
1940,4572,4572,189,10,9,0
1884,1345,1345,0,0,0,0
1946,50332,50332,154,46790,46680,0
1850,215,215,0,0,0,0
1952,96740,96740,268,95628,95125,0
1859,223,223,0,0,0,0
1841,526,526,0,0,0,0
1914,3583,3583,95,0,0,0
1947,59831,59831,154,57935,57156,0
1945,18396,18396,185,14196,14162,0
1974,215172,215172,11691,210273,1267,0
1823,51,51,0,0,0,0
1994,402661,402661,288532,372936,6810,0
1933,5072,5072,211,1,1,0
1941,4383,4383,183,2,2,0
1956,93600,93600,514,91832,91707,0
1856,249,249,0,0,0,0
1838,25,25,0,0,0,0
1909,3009,3009,39,1,1,0
2001,499878,499878,392139,462719,5291,0
1858,235,235,0,0,0,0
1960,100499,100499,1176,97250,97212,0
1895,1578,1578,0,0,0,0
1811,33,33,0,0,0,0
1845,280,280,0,0,0,0
1854,140,140,0,0,0,0
